date, pm25, pm10, o3, no2, so2, co
2023/11/18, 78, 64, 30, 33, 3, 8
2023/11/19, 111, 79, 43, 38, 4, 10
2023/11/20, 157, 62, 54, 35, 3, 8
2023/11/21, 130, 56, 42, 30, 2, 7
2023/11/22, 116, 87, 55, 32, 5, 10
2023/11/23, 162, 40, 24, 15, 2, 6
2023/11/24, 51, 33, 26, 18, 2, 5
2023/11/25, 50, 43, 22, 23, 2, 4
2023/11/26, 76, 68, 39, 21, 3, 6
2023/11/27, 141, 86, 31, 24, 4, 7
2023/11/28, 152, 69, 42, 18, 3, 6
2023/11/29, 126, 38, 22, 12, 3, 5
2023/11/30, 63, 49, 23, 17, 5, 8
2023/12/1, 79, 60, 26, 30, 3, 9
2023/12/2, 107, 81, 19, 39, 4, 10
2023/12/3, 155, 86, 7, 42, 3, 9
2023/12/4, 164, 72, 26, 31, 3, 9
2023/12/5, 160, 86, 26, 29, 3, 8
2023/12/6, 151, 105, 36, 28, 4, 8
2023/12/7, 143, 73, 36, 24, 4, 7
2023/12/8, 125, 71, 25, 35, 4, 7
2023/12/9, 133, 66, 15, 29, 2, 7
2023/12/10, 126, 28, 17, 10, 2, 8
2023/12/11, 77, 43, 17, 9, , 8
2023/12/12, 99, 54, 22, 20, 2, 9
2023/12/13, 119, 50, 31, 25, 3, 8
2023/12/14, 114, 36, 13, 22, 2, 11
2023/12/15, 85, 43, 26, 8, 2, 8
2023/12/16, 94, 30, 25, 9, 2, 5
2023/12/17, 68, 25, 18, 17, 2, 5
2023/12/18, 58, 33, 15, 17, 2, 7
2023/12/19, 86, 58, 26, 14, 3, 8
2023/12/20, 119, 41, 28, 10, 3, 7
2023/12/21, 78, 43, 22, 15, 3, 7
2023/12/22, 78, 54, 14, 29, 3, 6
2023/12/23, 102, 73, 25, 27, 4, 7
2023/12/24, 144, 92, 27, 33, 4, 9
2023/12/25, 162, 94, 30, 38, 4, 8
2023/12/26, 166, 71, 28, 33, 3, 5
2023/12/27, 153, 77, 16, 38, 2, 8
2023/12/28, 153, 71, 22, 28, 2, 5
2023/12/29, 149, 73, 15, 25, 2, 7
2023/12/30, 147, 121, 26, 19, 2, 11
2023/12/31, 208, 83, 29, 16, 2, 8
2023/7/1, 61, 35, 88, 9, 1, 5
2023/7/2, 96, 34, 82, 11, 1, 5
2023/7/3, 85, 28, 60, 9, 1, 5
2023/7/4, 75, 31, 55, 8, 1, 6
2023/7/5, 66, 39, 72, 11, 1, 6
2023/7/6, 108, 30, 60, 10, 1, 5
2023/7/7, 71, 33, 41, 12, 1, 5
2023/7/8, 74, 38, 50, 12, 1, 5
2023/7/9, 104, 27, 39, 15, 1, 5
2023/7/10, 67, 38, 104, 9, 1, 5
2023/7/11, 81, 42, 93, 9, 1, 5
2023/7/12, 87, 40, 82, 8, 1, 5
2023/7/13, 81, 42, 109, 8, 1, 5
2023/7/14, 83, 37, 86, 8, 1, 5
2023/7/15, 79, 20, 34, 9, 1, 8
2023/7/16, 56, 15, 25, 4, 1, 3
2023/7/17, 33, 20, 48, 7, 1, 4
2023/7/18, 47, 23, 31, 11, 1, 4
2023/7/19, 47, 24, 25, 9, 1, 4
2023/7/20, 54, 18, 67, 8, 1, 5
2023/7/21, 60, 19, 49, 8, 1, 4
2023/7/22, 55, 23, 45, 6, 1, 4
2023/7/23, 54, 32, 60, 9, 1, 6
2023/7/24, 78, 15, 39, 5, 1, 4
2023/7/25, 41, 20, 29, 4, 1, 4
2023/7/26, 27, 15, 17, 6, 1, 4
2023/7/27, 22, 16, 14, 4, 1, 4
2023/7/28, 28, 16, 16, 3, 1, 4
2023/7/29, 25, 15, 30, 4, 1, 4
2023/7/30, 32, 19, 22, 4, 1, 4
2023/7/31, 46, 18, 16, 5, 1, 4
2023/8/1, 40, 20, 22, 4, 1, 4
2023/8/2, 47, 27, 20, 3, 1, 4
2023/8/3, 46, 24, 20, 5, 1, 5
2023/8/4, 43, 25, 31, 5, 1, 4
2023/8/5, 50, 31, 63, 6, 1, 4
2023/8/6, 66, 29, 40, 10, 1, 5
2023/8/7, 62, 33, 56, 6, 2, 6
2023/8/8, 62, 31, 53, 6, 1, 6
2023/8/9, 67, 42, 96, 6, 1, 7
2023/8/10, 91, 48, 109, 6, 1, 6
2023/8/11, 108, 38, 89, 6, 1, 5
2023/8/12, 98, 27, 74, 5, 1, 5
2023/8/13, 62, 25, 40, 5, 1, 5
2023/8/14, 53, 31, 35, 8, 1, 5
2023/8/15, 57, 33, 48, 9, 1, 4
2023/8/16, 63, 29, 53, 10, 1, 6
2023/8/17, 69, 29, 56, 13, 1, 6
2023/8/18, 67, 25, 39, 6, 1, 5
2023/8/19, 67, 22, 39, 5, 1, 5
2023/8/20, 56, 27, 72, 5, 1, 5
2023/8/21, 63, 33, 63, 8, 1, 7
2023/8/22, 76, 30, 55, 8, 1, 8
2023/8/23, 87, 32, 97, 10, 2, 8
2023/8/24, 74, 34, 90, 8, 1, 6
2023/8/25, 70, 30, 58, 7, 1, 6
2023/8/26, 60, 17, 31, 4, 1, 5
2023/8/27, 38, 14, 32, 5, 1, 6
2023/8/28, 34, 17, 28, 8, 1, 8
2023/8/29, 46, 11, 39, 9, 1, 6
2023/8/30, 40, 26, 40, 11, 1, 7
2023/8/31, 74, 19, 47, 11, 1, 5
2023/9/1, 48, 35, 62, 7, , 6
2023/9/2, 65, 31, 43, 7, 1, 5
2023/9/3, 62, 19, 21, 10, 2, 4
2023/9/4, 45, 29, 25, 10, 2, 4
2023/9/5, 57, 27, 31, 9, 2, 4
2023/9/6, 59, 37, 46, 9, 2, 5
2023/9/7, 72, 28, 54, 9, 2, 5
2023/9/8, 68, 28, 58, 12, , 5
2023/9/9, 58, 31, 85, 12, 2, 4
2023/9/10, 64, 32, 75, 10, 2, 5
2023/9/11, 64, 24, 40, 8, 2, 4
2023/9/12, 54, 22, 33, 4, 1, 5
2023/9/13, 45, 22, 23, 14, 2, 5
2023/9/14, 51, 23, 23, 19, 1, 5
2023/9/15, 63, 22, 29, 10, 1, 6
2023/9/16, 68, 37, 70, 16, 2, 8
2023/9/17, 90, 38, 77, 9, 2, 7
2023/9/18, 106, 21, 61, 8, 2, 5
2023/9/19, 64, 22, 34, 8, 2, 5
2023/9/20, 44, 24, 30, 14, 2, 5
2023/9/21, 46, 20, 22, 17, , 5
2023/9/22, 41, 16, 28, 15, , 5
2023/9/23, 40, 22, 22, 16, 1, 5
2023/9/24, 49, 44, 44, 18, 2, 7
2023/9/25, 72, 50, 55, 18, 2, 9
2023/9/26, 115, 42, 64, 13, 2, 7
2023/9/27, 114, 44, 39, 14, 2, 8
2023/9/28, 116, 38, 56, 8, 2, 8
2023/9/29, 105, 32, 32, 7, 2, 10
